,numords,totdol,last,buyer,buyerdummy,dollars
1,7,493,207,no,0,0
2,4,423,625,no,0,0
3,4,246,28,no,0,0
4,3,271,778,no,0,0
5,2,148,396,no,0,0
6,10,937,6,no,0,0
7,7,562,38,no,0,0
8,1,156,759,no,0,0
9,1,59,604,no,0,0
10,1,34,7,no,0,0
11,6,627,71,no,0,0
12,5,379,568,no,0,0
13,2,75,505,no,0,0
14,1,44,101,no,0,0
15,14,386,620,no,0,0
16,10,404,312,no,0,0
17,2,114,1094,no,0,0
18,11,756,22,no,0,0
19,1,104,366,no,0,0
20,22,1282,15,no,0,0
21,6,259,213,no,0,0
22,6,425,235,no,0,0
23,2,118,709,no,0,0
24,1,29,919,no,0,0
25,3,198,602,no,0,0
26,1,39,426,no,0,0
27,1,204,417,no,0,0
28,8,432,102,no,0,0
29,2,164,785,no,0,0
30,7,439,197,no,0,0
31,1,89,757,no,0,0
32,1,99,725,no,0,0
33,1,35,616,no,0,0
34,1,119,486,no,0,0
35,2,113,354,no,0,0
36,1,17,114,no,0,0
37,1,109,18,no,0,0
38,8,257,456,no,0,0
39,25,1782,353,no,0,0
40,4,424,626,no,0,0
41,3,777,723,no,0,0
42,1,299,11,no,0,0
43,2,78,602,no,0,0
44,3,223,28,no,0,0
45,1,121,142,no,0,0
46,9,451,127,no,0,0
47,10,333,23,no,0,0
48,2,158,352,no,0,0
49,30,2462,64,no,0,0
50,15,717,39,no,0,0
51,16,1110,8,no,0,0
52,1,120,1096,no,0,0
53,2,218,591,no,0,0
54,4,317,367,no,0,0
55,1,99,169,no,0,0
56,25,1594,23,no,0,0
57,5,405,21,no,0,0
58,3,190,1099,no,0,0
59,6,370,855,no,0,0
60,18,899,15,no,0,0
61,1,79,991,no,0,0
62,2,337,837,no,0,0
63,1,129,752,no,0,0
64,4,278,368,no,0,0
65,1,149,438,no,0,0
66,2,128,378,no,0,0
67,1,75,737,no,0,0
68,1,58,351,no,0,0
69,2,78,270,no,0,0
70,1,49,36,no,0,0
71,15,707,485,no,0,0
72,2,78,1029,no,0,0
73,4,236,98,no,0,0
74,19,1263,577,no,0,0
75,3,187,28,no,0,0
76,3,210,659,no,0,0
77,1,49,983,no,0,0
78,2,73,450,no,0,0
79,1,17,847,no,0,0
80,1,139,193,no,0,0
81,5,520,373,no,0,0
82,2,118,955,no,0,0
83,2,51,660,no,0,0
84,1,488,1093,no,0,0
85,1,161,485,no,0,0
86,1,139,51,no,0,0
87,15,993,20,no,0,0
88,35,3422,1,no,0,0
89,1,109,184,no,0,0
90,1,39,431,no,0,0
91,2,128,368,no,0,0
92,1,99,93,no,0,0
93,4,574,1011,no,0,0
94,11,543,168,no,0,0
95,27,874,7,no,0,0
96,2,238,135,no,0,0
97,2,78,9,no,0,0
98,1,159,988,no,0,0
99,1,199,401,no,0,0
100,8,959,172,no,0,0
101,1,59,905,no,0,0
103,2,120,10,no,0,0
105,2,58,415,no,0,0
106,1,29,599,no,0,0
107,3,154,67,no,0,0
108,1,99,493,no,0,0
109,6,262,249,no,0,0
110,5,687,49,no,0,0
111,5,148,11,no,0,0
112,9,1103,85,no,0,0
113,3,132,1022,no,0,0
114,5,510,1113,no,0,0
115,4,303,604,no,0,0
116,2,273,1012,no,0,0
117,1,139,389,no,0,0
118,1,152,835,no,0,0
119,3,113,66,no,0,0
120,2,98,430,no,0,0
121,1,19,371,no,0,0
122,1,216,483,no,0,0
123,42,2851,210,no,0,0
124,14,625,93,no,0,0
125,49,4212,17,no,0,0
126,4,152,371,no,0,0
127,2,83,492,no,0,0
128,1,32,395,no,0,0
129,1,119,247,no,0,0
130,4,236,528,no,0,0
131,2,83,1115,no,0,0
132,6,339,345,no,0,0
133,42,1689,74,no,0,0
134,4,208,497,no,0,0
135,17,381,11,no,0,0
136,8,729,24,no,0,0
137,2,238,921,no,0,0
138,1,279,1101,no,0,0
139,2,216,735,no,0,0
140,6,479,25,no,0,0
141,1,49,934,no,0,0
142,8,1229,108,no,0,0
143,1,86,749,no,0,0
144,1,199,746,no,0,0
145,2,298,59,no,0,0
146,1,114,661,no,0,0
147,1,53,310,no,0,0
148,2,188,261,no,0,0
149,1,159,157,no,0,0
150,17,732,149,no,0,0
151,7,524,690,no,0,0
152,8,940,32,no,0,0
153,2,474,1089,no,0,0
154,1,19,1089,no,0,0
155,4,719,114,no,0,0
156,1,12,193,no,0,0
157,47,1049,38,no,0,0
158,27,3326,193,no,0,0
159,15,1194,1017,no,0,0
160,8,340,287,no,0,0
161,16,654,95,no,0,0
162,3,252,67,no,0,0
163,3,241,185,no,0,0
164,1,19,868,no,0,0
165,1,29,723,no,0,0
166,3,252,35,no,0,0
167,1,134,478,no,0,0
168,1,44,350,no,0,0
169,1,24,18,no,0,0
170,6,919,1,no,0,0
171,2,36,946,no,0,0
172,5,445,660,no,0,0
173,3,356,297,no,0,0
174,4,317,203,no,0,0
175,1,19,394,no,0,0
176,1,44,339,no,0,0
177,1,79,260,no,0,0
178,6,492,749,no,0,0
179,4,384,107,no,0,0
180,8,873,191,no,0,0
181,8,243,121,no,0,0
182,3,281,21,no,0,0
183,1,83,227,no,0,0
184,1,59,1025,no,0,0
185,15,930,108,no,0,0
186,5,324,102,no,0,0
187,1,161,759,no,0,0
188,1,99,396,no,0,0
189,14,647,337,no,0,0
190,2,258,745,no,0,0
191,1,35,806,no,0,0
192,35,1012,39,no,0,0
193,10,1095,130,no,0,0
194,4,152,220,no,0,0
195,8,748,365,no,0,0
196,2,78,210,no,0,0
197,3,92,721,no,0,0
198,2,193,926,no,0,0
199,3,167,588,no,0,0
200,12,641,393,no,0,0
201,10,1603,805,no,0,0
202,5,371,225,no,0,0
203,2,188,837,no,0,0
204,4,289,298,no,0,0
205,3,466,756,no,0,0
206,7,193,22,no,0,0
207,10,586,14,no,0,0
208,1,149,675,no,0,0
209,9,422,29,no,0,0
210,7,1784,366,no,0,0
211,2,71,996,no,0,0
212,8,1281,1003,no,0,0
213,22,1733,177,no,0,0
214,3,115,65,no,0,0
215,2,138,11,no,0,0
216,3,217,647,no,0,0
217,4,333,67,no,0,0
218,10,566,25,no,0,0
219,8,506,865,no,0,0
220,5,445,294,no,0,0
221,2,88,487,no,0,0
222,5,1087,1031,no,0,0
223,6,792,46,no,0,0
224,1,124,1102,no,0,0
225,2,50,724,no,0,0
226,8,1178,595,no,0,0
227,1,269,997,no,0,0
228,2,161,624,no,0,0
229,6,865,339,no,0,0
230,1,71,848,no,0,0
231,10,380,33,no,0,0
232,1,189,788,no,0,0
233,1,59,770,no,0,0
234,1,19,732,no,0,0
235,1,269,724,no,0,0
236,5,665,393,no,0,0
237,11,1170,11,no,0,0
238,7,403,17,no,0,0
239,1,59,567,no,0,0
240,5,545,291,no,0,0
241,2,193,382,no,0,0
242,2,48,506,no,0,0
243,1,99,382,no,0,0
244,1,129,381,no,0,0
245,3,279,36,no,0,0
246,1,49,366,no,0,0
247,1,11,134,no,0,0
248,1,30,105,no,0,0
249,1,89,100,no,0,0
250,1,219,53,no,0,0
251,1,29,45,no,0,0
252,1,69,24,no,0,0
253,6,278,857,no,0,0
254,4,593,564,no,0,0
255,2,80,479,no,0,0
256,3,339,18,no,0,0
257,3,292,366,no,0,0
258,5,177,42,no,0,0
259,6,370,154,no,0,0
261,1,49,1095,no,0,0
262,2,98,304,no,0,0
263,1,44,94,no,0,0
264,75,5167,81,no,0,0
265,7,585,611,no,0,0
266,4,273,242,no,0,0
267,4,1630,11,no,0,0
268,2,263,625,no,0,0
269,9,736,193,no,0,0
270,3,320,431,no,0,0
271,7,560,53,no,0,0
272,1,137,1114,no,0,0
273,3,150,53,no,0,0
274,2,198,599,no,0,0
275,2,208,368,no,0,0
276,1,71,478,no,0,0
